outcome,feature_set,task,repeat,fold,feature,score_drop
delta_pos,published_litraj,classification,1,2,litraj_edge_length,-0.050000000000000044
delta_pos,published_litraj,classification,1,2,litraj_max_weighted_mean_oxidation,-0.043333333333333335
delta_pos,published_litraj,classification,1,2,litraj_max_volume,0.04666666666666669
delta_pos,published_litraj,classification,1,2,litraj_min_mean_covalent_radius,-0.05500000000000005
delta_pos,published_litraj,classification,1,3,litraj_min_volume,-0.05333333333333323
delta_pos,published_litraj,classification,1,3,litraj_edge_length,-0.020000000000000018
delta_pos,published_litraj,classification,1,3,litraj_max_weighted_mean_oxidation,0.06222222222222229
delta_pos,published_litraj,classification,1,3,litraj_max_volume,-0.006666666666666599
delta_pos,published_litraj,classification,1,3,litraj_min_mean_covalent_radius,-0.03111111111111109
delta_pos,published_litraj,classification,1,4,litraj_min_volume,-0.0736842105263158
delta_pos,published_litraj,classification,1,4,litraj_edge_length,-0.07105263157894737
delta_pos,published_litraj,classification,1,4,litraj_max_weighted_mean_oxidation,0.10526315789473684
delta_pos,published_litraj,classification,1,4,litraj_max_volume,0.010526315789473717
delta_pos,published_litraj,classification,1,4,litraj_min_mean_covalent_radius,0.05263157894736842
delta_pos,published_litraj,classification,2,0,litraj_min_volume,0.04554079696394686
delta_pos,published_litraj,classification,2,0,litraj_edge_length,0.022770398481973486
delta_pos,published_litraj,classification,2,0,litraj_max_weighted_mean_oxidation,0.125237191650854
delta_pos,published_litraj,classification,2,0,litraj_max_volume,0.05692599620493366
delta_pos,published_litraj,classification,2,0,litraj_min_mean_covalent_radius,0.07400379506641364
delta_pos,published_litraj,classification,2,1,litraj_min_volume,-0.0625
delta_pos,published_litraj,classification,2,1,litraj_edge_length,-0.05555555555555558
delta_pos,published_litraj,classification,2,1,litraj_max_weighted_mean_oxidation,-0.04166666666666674
delta_pos,published_litraj,classification,2,1,litraj_max_volume,0.01388888888888884
delta_pos,published_litraj,classification,2,1,litraj_min_mean_covalent_radius,0.03009259259259256
delta_pos,published_litraj,classification,2,2,litraj_min_volume,-0.08403361344537824
delta_pos,published_litraj,classification,2,2,litraj_edge_length,-0.06302521008403361
delta_pos,published_litraj,classification,2,2,litraj_max_weighted_mean_oxidation,-0.1050420168067227
delta_pos,published_litraj,classification,2,2,litraj_max_volume,0.002100840336134391
delta_pos,published_litraj,classification,2,2,litraj_min_mean_covalent_radius,0.06092436974789911
delta_pos,published_litraj,classification,2,3,litraj_min_volume,-0.008522727272727182
delta_pos,published_litraj,classification,2,3,litraj_edge_length,-0.13636363636363635
delta_pos,published_litraj,classification,2,3,litraj_max_weighted_mean_oxidation,-0.008522727272727293
delta_pos,published_litraj,classification,2,3,litraj_max_volume,-0.05681818181818177
delta_pos,published_litraj,classification,2,3,litraj_min_mean_covalent_radius,-0.05965909090909094
delta_pos,published_litraj,classification,2,4,litraj_min_volume,0.009057971014492794
delta_pos,published_litraj,classification,2,4,litraj_edge_length,-0.07427536231884047
delta_pos,published_litraj,classification,2,4,litraj_max_weighted_mean_oxidation,0.061594202898550776
delta_pos,published_litraj,classification,2,4,litraj_max_volume,-0.08333333333333326
delta_pos,published_litraj,classification,2,4,litraj_min_mean_covalent_radius,-0.04347826086956519
delta_pos,published_litraj,classification,3,0,litraj_min_volume,-0.2023026315789474
delta_pos,published_litraj,classification,3,0,litraj_edge_length,-0.05592105263157893
delta_pos,published_litraj,classification,3,0,litraj_max_weighted_mean_oxidation,0.04111842105263158
delta_pos,published_litraj,classification,3,0,litraj_max_volume,-0.009868421052631582
delta_pos,published_litraj,classification,3,0,litraj_min_mean_covalent_radius,0.01315789473684209
delta_pos,published_litraj,classification,3,1,litraj_min_volume,0.011441647597253857
delta_pos,published_litraj,classification,3,1,litraj_edge_length,-0.03661327231121286
delta_pos,published_litraj,classification,3,1,litraj_max_weighted_mean_oxidation,-0.04118993135011445
delta_pos,published_litraj,classification,3,1,litraj_max_volume,0.03432494279176196
delta_pos,published_litraj,classification,3,1,litraj_min_mean_covalent_radius,0.013729977116704706
delta_pos,published_litraj,classification,3,2,litraj_min_volume,0.03523809523809507
delta_pos,published_litraj,classification,3,2,litraj_edge_length,-0.017142857142857237
