outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
positional_benefit,123,220,23;87;93;201;803,35;41;59;71;155,0.8325684302115941,0.7486270377487139
positional_benefit,124,220,23;87;155;201;803,35;41;59;71;93,0.8764124122114747,0.7511357297014025
positional_benefit,125,220,23;93;155;201;803,35;41;59;71;87,0.7876788861958691,0.6653353093320862
bvse_delta_benefit,0,220,23;35;41;59;71,87;93;155;201;803,0.9541662526357011,0.9428500588855141
bvse_delta_benefit,1,220,23;35;41;59;87,71;93;155;201;803,0.902129288114522,0.8863740610718854
bvse_delta_benefit,2,220,23;35;41;59;93,71;87;155;201;803,0.9401649786775881,0.9136405898694375
bvse_delta_benefit,3,220,23;35;41;59;155,71;87;93;201;803,0.9299597876607989,0.9212714763077373
bvse_delta_benefit,4,220,23;35;41;59;201,71;87;93;155;803,0.928612466051798,0.914821681139167
bvse_delta_benefit,5,220,23;35;41;59;803,71;87;93;155;201,0.922747260524584,0.898720296625212
bvse_delta_benefit,6,220,23;35;41;71;87,59;93;155;201;803,0.9085447816405416,0.8996974017119062
bvse_delta_benefit,7,220,23;35;41;71;93,59;87;155;201;803,0.9315436547757546,0.9000749451998443
bvse_delta_benefit,8,220,23;35;41;71;155,59;87;93;201;803,0.9239022314075275,0.8915266844356289
bvse_delta_benefit,9,220,23;35;41;71;201,59;87;93;155;803,0.9403894613526208,0.9163465060322433
bvse_delta_benefit,10,220,23;35;41;71;803,59;87;93;155;201,0.9178741558395407,0.9072516524571319
bvse_delta_benefit,11,220,23;35;41;87;93,59;71;155;201;803,0.9092654064355761,0.8725221595487509
bvse_delta_benefit,12,220,23;35;41;87;155,59;71;93;201;803,0.8852751779239572,0.8712869724956752
bvse_delta_benefit,13,220,23;35;41;87;201,59;71;93;155;803,0.8917698260016275,0.8617796385725475
bvse_delta_benefit,14,220,23;35;41;87;803,59;71;93;155;201,0.8624756713382299,0.849716278886303
bvse_delta_benefit,15,220,23;35;41;93;155,59;71;87;201;803,0.92638759351988,0.8852076207434789
bvse_delta_benefit,16,220,23;35;41;93;201,59;71;87;155;803,0.930134678818918,0.904012667429267
bvse_delta_benefit,17,220,23;35;41;93;803,59;71;87;155;201,0.9021456933664641,0.8935462603472273
bvse_delta_benefit,18,220,23;35;41;155;201,59;71;87;93;803,0.9241985955357561,0.9064537396527725
bvse_delta_benefit,19,220,23;35;41;155;803,59;71;87;93;201,0.9027797859625604,0.8908617570986628
